country,region,income,gdp,population,msw,e_waste,medical,hazard,plastic,metal,glass
Moldova,ECS,Lower Middle,10360.830078125,3554108,1.120168548620357,0.0017725966684186299,0.004417423443519443,0.00011761038212682338,10.0,3.0,4.0
Madagascar,SSF,Low,1565.866943359375,24894552,0.15138891272275157,0.0005623720402761214,,0.0018460665610692652,,,
Maldives,SAS,Upper Middle,17284.609375,409163,0.5169230355628441,0.0073416951190601295,0.004246229497779613,0.036918110875128,3.0,1.0,
Mexico,LCN,Upper Middle,19332.07421875,125890952,0.42179361706630036,0.007608966210693203,7.769104804291256e-06,0.00014435104120906164,10.9,3.4,5.9
Marshall Islands,EAS,Upper Middle,3628.895263671875,52793,0.16316557119315062,,0.000817532627431667,,13.0,6.0,2.0
"Macedonia, FYR",ECS,Upper Middle,16147.7294921875,2082958,0.3010000081614704,0.0005857055207066105,0.45670291959799475,0.019586088629727532,13.900000000000002,2.5,4.1
Mali,SSF,Low,2007.8060302734373,16006670,0.1210341963693885,0.000749687474034262,,,2.0,3.5,1.0
Malta,MEA,High,43707.5390625,502653,0.6940000109419421,0.015205320569060564,0.04658879982811204,0.07266046358024322,12.0,4.0,6.0
Myanmar,EAS,Lower Middle,1093.7880859375,46095464,0.10146999559739761,0.0011931759706334663,1.4062121166629325e-05,,,,
Montenegro,ECS,Upper Middle,20752.62109375,622227,0.5300000040178263,0.009964209203393616,0.003746864086579335,0.006137968940595635,18.42,2.9,8.97
Mongolia,EAS,Lower Middle,10940.4150390625,3027398,0.9579183179747096,0.004624433259188253,0.00031949879071070273,,14.5,,
Northern Mariana Islands,EAS,High,60955.7265625,54036,0.6062886686653342,,,,16.5,10.0,5.5
Mozambique,SSF,Low,1217.0902099609375,27212382,0.09186994361610828,0.0006247156165895363,,,,,
Mauritania,SSF,Lower Middle,4783.6357421875,3506288,0.1294816626586293,0.001454529690658611,,,20.0,4.2,4.0
Mauritius,SSF,Upper Middle,20646.93359375,1263473,0.34666352189560046,0.008706161508793619,,0.013454976877226502,12.4,,2.8
Malawi,SSF,Low,999.4413452148435,16577147,0.07829118484622233,0.0005730781056595565,,,,,
